score,sentence1,sentence2,Predicted Score LLaMA-13b
2.5,A girl is styling her hair.,A girl is brushing her hair.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man is holding a baby.""
- ""A man is holding a baby.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Given the two sentences:"
3.6,A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3. 

  Given the two sentences:
- ""A man is walking on the beach.""
- ""A boy is walking on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:"
5.0,One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""One man is reading another man's book.""
- ""A man reads another man's book.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer"
4.2,A man is cutting up a cucumber.,A man is slicing a cucumber.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4


  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer"
1.5,A man is playing a harp.,A man is playing a keyboard.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a piano.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given the two"
1.8,A woman is cutting onions.,A woman is cutting tofu.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is cutting onions.""
- ""A woman is cutting tofu.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A man is cooking.""
- ""A man is cooking soup.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Given the two sentences:
- """
3.5,A man is riding an electric bicycle.,A man is riding a bicycle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3. 

  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The"
2.2,A man is playing the drums.,A man is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Given the two sentences:
- ""A woman is writing.""
- ""A woman is swimming."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Given the two sentences:
- ""A cat"
2.2,A man is playing guitar.,A lady is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man is playing guitar.""
- ""A man is playing the guitar."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A"
1.714,A man is playing a guitar.,A man is playing a trumpet.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  1.

  Given"
